2011-02-18 02:15:51 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:16:05 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:16:24 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:17:36 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:17:43 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:17:51 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:18:05 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:18:17 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:18:33 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:18:45 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:23:51 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 5]
2011-02-18 02:24:10 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 5]
2011-02-18 02:24:11 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 5]
2011-02-18 02:24:28 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 5]
2011-02-18 02:24:36 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 5]
2011-02-18 02:24:39 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 5]
2011-02-18 02:24:51 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 5]
2011-02-18 02:25:24 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 5]
2011-02-18 02:25:27 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 5]
2011-02-18 02:30:49 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 6]
2011-02-18 02:31:01 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 6]
2011-02-18 02:31:04 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 6]
2011-02-18 02:31:19 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 6]
2011-02-18 02:31:34 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 6]
2011-02-18 02:31:59 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 6]
2011-02-18 02:32:11 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 6]
2011-02-18 02:32:18 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 6]
2011-02-18 02:32:44 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 6]
2011-02-18 02:32:47 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 6]
2011-02-18 02:33:00 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 6]
2011-02-18 02:33:12 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 6]
2011-02-18 02:34:54 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:36:42 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:36:56 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:37:09 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:37:22 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:38:35 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:38:43 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:39:11 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:39:40 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:39:52 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:40:12 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:40:18 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:40:32 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:41:13 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:41:20 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:41:37 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:41:38 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:41:45 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:41:53 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:42:15 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
